0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-01 21:50:00,2108.0,0.0,2256.25,1660.25,2244.6,1688.75,811.0,0.0,232.0,2226.25,2349.6,2249.6,1485.5249999999999
2020-12-01 22:00:00,2115.4,0.0,2259.6,1654.6,2240.25,1687.75,550.5,0.0,173.8,2223.4,2356.25,2249.75,1459.2749999999999
2020-12-01 22:10:00,2114.0,0.0,2261.0,1651.5,2241.25,1687.75,800.6,0.0,218.25,2228.25,2356.0,2248.75,1483.9458333333332
2020-12-01 22:20:00,2116.75,0.0,1787.25,1652.75,2247.6,1692.2,429.75,0.0,218.25,894.0,2357.75,1064.25,1205.0458333333333
2020-12-01 22:30:00,2124.6,0.0,0.0,1598.0,1821.5,1399.0,436.0,0.0,213.0,0.0,2360.6,1144.0,924.725
2020-12-01 22:40:00,2134.75,0.0,0.0,989.6,1265.25,1089.75,452.75,0.0,169.0,0.0,2374.75,1687.75,846.9666666666667
2020-12-01 22:50:00,2139.5,0.0,0.0,814.0,1079.6,825.4,348.6,0.0,212.5,0.0,2368.0,166.25,662.8208333333333
2020-12-01 23:00:00,1513.8,0.0,0.0,1660.5,925.0,832.25,210.0,0.0,222.0,0.0,2365.4,736.2,705.4291666666668
2020-12-01 23:10:00,1740.25,0.0,0.0,1664.2,766.25,725.75,199.0,0.0,169.6,0.0,2363.0,732.75,696.7333333333332
2020-12-01 23:20:00,866.5,0.0,0.0,1108.75,681.25,597.75,339.6,0.0,243.0,0.0,2364.25,289.25,540.8625000000001
2020-12-01 23:30:00,791.8,0.0,0.0,951.0,473.6,622.2,411.75,0.0,210.25,0.0,2358.6,0.0,484.9333333333334
2020-12-01 23:40:00,780.5,0.0,0.0,999.4,575.25,422.75,418.75,0.0,166.0,0.0,1017.5,881.5,438.4708333333333
2020-12-01 23:50:00,520.75,0.0,0.0,584.75,236.75,381.5,321.4,0.0,0.0,0.0,0.0,0.0,170.42916666666667
2020-12-02 00:00:00,458.0,164.25,0.0,588.5,413.2,395.2,0.0,0.0,221.75,0.0,0.0,0.0,186.74166666666667
